cause,Isabella Ortega,3
message,Christine Butler,5
save,Brendan Johnson,1
first,Samantha Sanders,5
show,David Mueller,4
surface,Jenna Adams,2
direction,Lynn Jones,3
same,Travis Craig,1
travel,Robert Torres,5
politics,Samantha Rose,5
water,Diane Murray,4
decade,Kelly Nelson,5
street,Amanda Wilson,3
oil,George Park,2
simply,Stephanie Montgomery,1
performance,Michael Mercado,5
kind,Rachel Jones,1
possible,Andrea Hardy,3
also,David Nelson,4
worry,Jennifer Shaw,3
cost,James Ford,1
design,Christopher Nguyen,2
begin,Christopher Garcia,5
difference,Kelly Drake,4
officer,Joshua Roberts,1
store,Jennifer Hampton,5
international,Derek Rivers,5
most,Eddie Edwards,4
scene,Juan Robbins,5
raise,Scott Harmon,2
offer,Tammy Andrews,4
today,Michael Carroll,5
argue,Jessica Meyers,5
hundred,Anna Gilmore,2
student,Jesse Rangel,5
need,Heidi Terrell,4
green,Melissa Horton,3
home,Ricky Thompson,5
especially,Sharon Long,5
central,Brandon Mann,4
career,Brittany Atkins,4
thus,Crystal Frazier,2
several,Robert Johnson,5
later,Kimberly Mccoy,1
sister,Lisa Powell,3
tend,Wendy Hardy,3
store,Jessica Wallace,1
someone,Jack Guerra,4
bed,Theresa Alexander,1
personal,Alan Flynn,2
course,Matthew Lyons,4
shoulder,Theresa Odonnell,2
government,David Ortiz,2
relate,Matthew Dixon,3
change,Andrea Davis,4
eat,Jordan Lopez,2
cup,Luis Turner,1
also,Oscar Watts,2
hair,Curtis Thompson,4
grow,Danielle Williams,4
star,Veronica Orozco,2
especially,Rebecca Gutierrez,5
sit,Patricia Reid,5
try,Rhonda Tate,2
wide,Meredith Stafford,3
religious,Heather Garcia,4
create,Kari Mendoza,2
green,David Shaw,3
learn,Melissa Thomas,1
mouth,Jessica Smith,4
long,Kyle Benson,1
good,Micheal Martin,1
skin,Belinda Jones,2
call,Lori Acosta,5
chance,Terry Clark,1
community,Lisa Martin,1
beautiful,Charles Hall,4
best,John Brown,4
program,Jessica Jenkins,4
clear,Jonathon Mejia,2
break,Michelle Miller,5
shake,Alexis Jennings,5
indicate,Derrick Espinoza,2
peace,Jacqueline Navarro,3
film,Ashley Thomas,2
food,Blake Fritz,2
school,Rebecca Mitchell,1
seat,Vincent Chavez,1
five,Tara Harper,2
find,Todd Hobbs,1
consider,Rodney Frazier,5
against,Michelle Murillo,4
prove,Tracy Roberts,2
then,Pamela Shepherd,2
open,Dean Holmes,1
court,David Robinson,1
soldier,Courtney Scott,3
cold,Brian Hernandez,1
sound,Michelle Davidson,2
modern,Tony Owens,5
participant,Lori Fox,5
perform,Tina Barnes,1
recently,Steven Miles,1
senior,Shaun Thomas,5
claim,Alexander Villanueva,5
analysis,Timothy Solis,4
fly,Matthew Joseph,4
executive,Teresa Hicks,2
but,Marc Martin,2
compare,Courtney Thompson,4
fall,Victoria Thomas,4
get,Jessica Jones,4
consider,William Baker,1
sister,James Thompson,5
someone,Shawn Cruz,1
information,Sharon Suarez,3
executive,Jessica Patterson,4
center,Angel Carr,2
final,Jennifer Curtis,2
expert,Rickey Ayala,3
mission,Steven Miller,2
order,Scott Diaz,1
former,Jasmine Powers,1
cell,Joy Jones,2
herself,Christopher Brown,2
property,Mary Flowers,5
message,Eric Jensen,5
ask,Bryan Powers,5
run,William Solomon,4
price,Brenda Diaz,1
have,Gary Kaiser,5
camera,Richard Moore,3
lawyer,Whitney Snyder,2
keep,James Phillips,5
billion,David Walker,5
high,Kevin Rodriguez,4
report,Charles Jackson,3
decade,Nicole Moreno,2
difference,Calvin Harris,5
through,Kathryn Weber,1
table,Brian May,2
argue,Catherine Stone,2
as,Charles Thompson,4
forward,Jacqueline Estrada,2
place,Steven Hill,2
purpose,Courtney Gibbs,1
goal,Shelby Arnold,4
set,Richard Grant,2
fire,Steven Calhoun,2
tend,Veronica Smith,5
sit,Gary Werner,1
carry,Cindy Leach,4
product,Stacey Brown,3
future,John Kennedy,3
national,Jeffrey Roberts,5
number,John Dickson,1
everybody,Denise Hill,4
already,Joshua Nguyen,5
agreement,Daniel Pierce,4
eight,Daniel Watkins,5
run,Dawn Moreno,3
professor,Ryan Heath,5
this,Cory Peters,5
perhaps,Becky Lambert,2
along,Jonathon Mejia,1
we,Victoria Mendez,5
soldier,Matthew Hampton,3
see,Jennifer Barton,1
once,Gary Martinez,4
culture,Louis Hobbs,4
response,Eric Charles,4
next,Amy Prince,3
some,Ryan Weiss,4
in,Levi Flores,4
child,Catherine Gibbs,2
account,Jason Mendoza,5
public,Benjamin Mendoza,2
lay,Samantha Carter,3
top,Michael Harrington,4
draw,Margaret Turner,2
miss,John Ellis,5
image,Robert Reynolds,1
chance,Richard Knight,2
whether,Erica Taylor,2
